id,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
579,2023-05-31T00:00:06,29.14556,-90.20774,0.0,306.4,338.0,CAT ISLAND,IMO9752357,WDH7954,90.0,0.0,95.0,20.0,6.9,10.0,A
580,2023-05-31T00:00:03,29.74804,-95.29101,0.0,264.0,238.0,C J STUDDERT,nan,WDJ2968,31.0,12.0,nan,nan,nan,57.0,A
581,2023-05-31T00:00:03,42.01821,-66.73503,1.3,256.0,239.0,LADY COMEAU III,IMO9863651,VBZ6538,30.0,7.0,50.0,12.0,6.6,30.0,A
582,2023-05-31T00:00:06,26.82718,-80.0581,0.0,101.0,159.0,DEEP BLUE,nan,WDM9328,37.0,0.0,16.0,6.0,2.5,37.0,A
583,2023-05-31T00:00:04,40.9478,-73.06978,0.0,301.8,511.0,PARK CITY,IMO8700709,WTX9790,60.0,15.0,87.0,14.0,nan,60.0,A
584,2023-05-31T00:00:04,24.21936,-81.95708,8.4,86.5,86.0,LIBERTY,IMO9601821,WDG3575,31.0,0.0,43.0,18.0,6.7,57.0,A
585,2023-05-31T00:00:00,29.75696,-95.09596,3.3,299.8,296.0,SEBASTIAN D,nan,WDH9021,31.0,1.0,25.0,nan,nan,31.0,A
586,2023-05-31T00:00:05,38.95843,-74.87829,0.0,232.2,511.0,ONNERED,nan,WDG4753,30.0,nan,18.0,6.0,nan,nan,B
587,2023-05-31T00:00:02,29.82139,-89.60764,0.0,276.7,511.0,GODS GRACE,nan,WDK2225,52.0,0.0,15.0,7.0,0.0,52.0,A
588,2023-05-31T00:00:05,30.37607,-91.23811,0.0,308.9,39.0,PORTER J. FURLONG,nan,WDK9974,57.0,12.0,296.0,60.0,3.0,57.0,A
589,2023-05-31T00:00:05,32.09651,-81.10918,2.1,182.7,511.0,GRACE MYRICK,nan,WDK8495,99.0,0.0,18.0,10.0,2.0,99.0,A
590,2023-05-31T00:00:00,34.5409,-90.54483,3.3,34.7,26.0,MARQUETTE WARRIOR,nan,WDH6449,31.0,12.0,46.0,13.0,nan,57.0,A
591,2023-05-31T00:00:08,37.92274,-122.36732,0.0,280.2,39.0,NJORD,nan,WCZ5435,90.0,3.0,42.0,nan,nan,33.0,A
592,2023-05-31T00:00:01,30.70389,-88.03475,0.0,360.0,511.0,SCOTT QUEST,nan,WDC3270,31.0,0.0,17.0,6.0,nan,0.0,A
593,2023-05-31T00:00:01,29.78288,-95.07259,6.8,32.1,33.0,RYAN,IMO8976592,WDF2431,31.0,0.0,26.0,9.0,nan,57.0,A
594,2023-05-31T00:00:01,29.65227,-91.26755,4.5,89.3,87.0,RANDOLPH C,nan,WDI2573,31.0,12.0,22.0,nan,nan,57.0,A
595,2023-05-31T00:00:02,48.60968,-123.15397,0.0,273.8,511.0,ALASKAN QUEEN,nan,WDG8128,37.0,15.0,23.0,6.0,nan,37.0,A
596,2023-05-31T00:00:01,40.3823,-63.05114,13.0,223.6,220.0,IRIDA GS,IMO9614311,V7A5913,70.0,0.0,181.0,28.0,8.9,70.0,A
597,2023-05-31T00:00:00,48.58873,-122.91856,15.3,289.4,288.0,WSF CHELAN,IMO7808140,WCX7878,60.0,0.0,100.0,23.0,5.2,60.0,A
598,2023-05-31T00:00:04,37.57953,-76.05663,15.6,321.2,320.0,SEWARD,IMO8400232,3EPT3,70.0,0.0,168.0,26.0,9.8,71.0,A
599,2023-05-31T00:00:00,29.56914,-90.7201,6.4,44.9,511.0,JOHN W STONE,nan,WYB7244,31.0,12.0,20.0,7.0,nan,57.0,A
600,2023-05-31T00:00:00,27.43689,-82.72565,21.2,147.7,148.0,CG SHRIKE,nan,NPBG,90.0,0.0,26.0,5.0,nan,55.0,A
601,2023-05-31T00:00:01,49.29199,-122.97373,0.5,185.6,511.0,ISLAND CROWN,IMO7414092,CFK9388,31.0,0.0,23.0,7.0,4.1,52.0,A
602,2023-05-31T00:00:08,29.97307,-93.84748,0.0,349.5,324.0,SAVAGE DILIGENCE,nan,WDG9118,31.0,0.0,17.0,8.0,nan,91.0,A
603,2023-05-31T00:00:02,30.045,-90.48062,8.1,158.6,511.0,IRON LADY,nan,WDL5614,31.0,12.0,0.0,0.0,9.6,31.0,A
604,2023-05-31T00:00:00,47.60592,-125.12873,3.5,335.7,334.0,ISLAND ENTERPRISE,IMO7710721,WDB4539,30.0,7.0,92.0,13.0,4.5,20.0,A
605,2023-05-31T00:00:00,28.40702,-80.70982,0.0,360.0,511.0,PINK LADY,nan,WDE7680,60.0,0.0,19.0,7.0,nan,99.0,A
606,2023-05-31T00:00:17,37.81105,-122.36109,0.3,360.0,511.0,CG45667,nan,nan,90.0,0.0,13.0,nan,nan,51.0,A
607,2023-05-31T00:00:00,41.5433,-82.72754,0.0,2.8,358.0,CARMEN LEE,IMO1321929,WDM8294,60.0,0.0,56.0,14.0,0.0,60.0,A
608,2023-05-31T00:00:06,29.23513,-95.2162,0.0,317.4,1.0,RICHARD TOLAR,nan,WDF3395,31.0,12.0,25.0,9.0,nan,57.0,A
609,2023-05-31T00:00:06,27.82152,-97.4797,0.0,305.1,293.0,BAILEY,nan,WDK4879,57.0,0.0,210.0,17.0,2.9,52.0,A
610,2023-05-31T00:00:00,31.54843,-91.44348,0.0,40.0,240.0,CINDY L ERICKSON,nan,WDJ8968,52.0,12.0,48.0,16.0,3.6,57.0,A
611,2023-05-31T00:00:01,29.35167,-89.51136,0.0,231.1,298.0,JASON LUHR,nan,WDC2250,31.0,0.0,23.0,10.0,nan,31.0,A
612,2023-05-31T00:00:01,30.40377,-87.25597,0.0,360.0,511.0,RV ORACLE,nan,WDK9705,57.0,0.0,24.0,8.0,0.0,57.0,A
613,2023-05-31T00:00:00,43.6897,-86.68651,8.2,8.9,10.0,SHARON M I,IMO9084059,CFP2006,31.0,11.0,34.0,10.0,5.3,52.0,A
614,2023-05-31T00:00:16,18.43995,-66.08694,0.0,137.2,57.0,DENI,IMO9844382,J8B6015,52.0,5.0,28.0,11.0,4.6,52.0,A
615,2023-05-31T00:00:05,27.93881,-82.44376,0.0,292.4,201.0,AMBERJACK,IMO8003307,WDG9719,31.0,0.0,35.0,9.0,4.4,39.0,A
616,2023-05-31T00:00:02,29.40758,-94.74219,4.8,49.4,511.0,BAILEY B,nan,WDM2890,57.0,12.0,113.0,34.0,3.1,57.0,A
617,2023-05-31T00:00:07,29.90374,-90.08196,0.0,233.9,511.0,CAPT ROGER D ADAMS,IMO8975782,WDA9222,31.0,0.0,28.0,9.0,nan,52.0,A
618,2023-05-31T00:00:00,27.91692,-82.44461,1.1,300.2,281.0,INDEPENDENT,IMO9826419,WDJ4411,31.0,15.0,nan,nan,nan,52.0,A
619,2023-05-31T00:00:04,29.96517,-90.23362,0.1,61.0,511.0,DIXIE RAIDER,IMO0000181,WDK8404,57.0,0.0,23.0,7.0,0.0,57.0,A
